Cargo,Local,Empresa,Descricao,Link
Engenheiro de Dados / Cientista de Dados - Sênior - DataSUS,"São Paulo, SP",Keyrus Brazil,Experiência com modelagem de dados.Suporte em integração de dados DataSUS com outras fontes de mercado e internas.Experiência de trabalho com base DataSUS.,https://tinyurl.com/y67wj9j8
CIENTISTA DE DADOS - 14587,"Campinas, SP",Bosch Group,Identificar oportunidade de automação em rotinas manuais de coleta de dados.Transformar dados em insights de negócios para tomada de decisões;,https://tinyurl.com/y5trp5kl
Cientista de dados (modelagem de crédito),"São Paulo, SP",Michael Page International do Brasil Recrutamento...,"Forte capacidade analítica, com experiência em modelagem de dados e análises.Construção e acompanhamento dos parâmetros de risco de crédito (PD, EAD, LGD);",https://tinyurl.com/y42r622p
Cientista de dados | Presencial,"São Paulo, SP",Ambev Tech,Proativamente identificar oportunidades de aplicação de ciência de dados na rotina de áreas de negócio em suprimentos.Presente de Natal para os Filhos;,https://tinyurl.com/yy2c2mk9
Cientista/Analista de Dados,"Rio de Janeiro, RJ",Morning Star Consulting,"Limpeza, organização, transformação e armazenamento de dados;Previsão de correlação entre amostras.Classificação de textos em linguagem natural;",https://tinyurl.com/yxp4kmo5
Cientista de Dados - Pleno,Remoto,A3Data,"Conhecimento de leis e práticas de privacidade de dados pessoais e segurança da informação.Capacidade de levantar hipóteses, realizar análise descritiva dos…",https://tinyurl.com/y2jnk26s
Cientista de Dados,"São Paulo, SP",Robert Half,Conduzir a Mineração de dados de diversas fontes com viés estatístico e orientado a dados para o fornecimento de inteligência para direcionar a tomada de…,https://tinyurl.com/yyk4edgx
Cientista de Dados Python (remoto),Brasil,GeekHunter,"Criação de features para otimização de modelos.Somos a maior consultoria de intermediação imobiliária do país, com mais de 80 anos de história, oportunidades…",https://tinyurl.com/y654ubyb
Cientista de Dados,"Curitiba, PR",Solvis,Preparação de dados para os analistas e cientistas de dados;Trabalhar em equipe com analistas e cientistas de dados;Ajuda de custo Home Office.,https://tinyurl.com/y43dmu4o
Cientista de Dados- JR,"São Paulo, SP",Stefanini,"Conhecimento de ferramentas de Big Data (PySpark, Hive) Capacidade de traduzir um problema de negócios em um problema de Data Science;",https://tinyurl.com/y4e5bxr7
CIENTISTA DE DADOS - BV,"Rio de Janeiro, RJ",Buscar Vagas,"Experiência: Mínimo de 06 (seis) anos em desenvolvimentos de projetos de BI/DW e Big data.Conhecimento em linguagens de programação de análise de dados (R,…",https://tinyurl.com/yxamt6yx
Cientista de dados,"São Paulo, SP",KPMG,Buscaremos profissionais com o perfil sênior para atuar como um cientista de dados pensando na engenharia de dados no geral.Esse é o nosso propósito.,https://tinyurl.com/y59vq9pr
Cientista de Dados,"São Paulo, SP",Duratex,"Transformar dados em insights de negócios para tomada de decisões;Equipe de Analytics com foco em captura, análise e processamento de dados.",https://tinyurl.com/y4dg6a3g
Cientista De Dados (PI) - DV,"Campinas, SP",Divulga Vagas,Fazer análise de dados para aquisição de conhecimento.Criar visualizações dos dados A combinar Pacote completo de benefícios - Divulga Vagas.,https://tinyurl.com/y5qq267s
ESPECIALISTA CIENTISTA DE DADOS,"Rio de Janeiro, RJ",Energisa - Recrutamento Externo,"Aplicar técnicas de visualização de dados e de estatística para análise preliminar das diversas e volumosas bases de dados, estruturados ou não estruturados,…",https://tinyurl.com/y4yhnf62
CIENTISTA DE DADOS SR,"Alphaville, SP",Afinz,"Construir e otimizar pipelines de dados, além de manipular, processar e extrair valor de grandes conjuntos de dados estruturados e não estruturados.",https://tinyurl.com/y2hqlper
Cientista de Dados,"Florianópolis, SC",Lanlink Informática,"O Cientista de Dados irá aplicar seu conhecimento em ciência de dados, inteligência artificial e Machine Learning para arquitetar, implementar e executar cargas…",https://tinyurl.com/y5nzre3a
Cientista de Dados II,"Rio de Janeiro, RJ",PEBMED,Fazer análises exploratórias e construir visualizações de dados para serem consumidas por outras áreas;Domínio de modelos matemáticos e estatísticos para…,https://tinyurl.com/y5y96663
CIENTISTA DE DADOS,"São Paulo, SP",Brasilprev,Sistemas de visualização de dados.Venha fazer parte do nosso time de DADOS que tem como foco o ganho em eficiência operacional e entrega de proposta de valor…,https://tinyurl.com/y4wzjpt5
CIENTISTA DE DADOS,"São Paulo, SP",Wyser,"Conhecimento em modelagem de dados;Aplicar as técnicas em ciências de dados para resolução de problemas complexos de negócio, sempre orientado aos resultados…",https://tinyurl.com/yxtvel7u
CIENTISTA DE DADOS PL,"Alphaville, SP",Afinz,"Construir e otimizar pipelines de dados, além de manipular, processar e extrair valor de grandes conjuntos de dados estruturados e não estruturados.",https://tinyurl.com/y4g9xfxo
Cientista de Dados,"São Paulo, SP",Vivo (Telefônica Brasil),Manipular grandes volumes de dados;Domínio em banco de dados e linguagem SQL;Participar de um dos maiores programas de voluntariado corporativo para você…,https://tinyurl.com/y6nq8dk4
Cientista de Dados - Analytics,"São Paulo, SP",HAYS,Atuar como cientis de dados na evolução e manutenção dos serviços e modelos da Duratex frente aos novos desafios tecnológicos; • Atuar no desenvolvimento de…,https://tinyurl.com/y3sfu8yf
