Cargo,Local,Empresa,Descricao,Link
Engenheiros de Dados Sênior,"São Paulo, SP",Softtek,Análise e levantamento de requisitos junto às áreas de negócio;Bancos de dados relacionais e linguagem SQL (Oracle / SQL Server);Junte-se a Softtek Brasil!,https://tinyurl.com/y62zu4dr
Engenheiro de Dados / Cientista de Dados - Sênior - DataSUS,"São Paulo, SP",Keyrus Brazil,Experiência com modelagem de dados.Suporte em integração de dados DataSUS com outras fontes de mercado e internas.Experiência de trabalho com base DataSUS.,https://tinyurl.com/y67wj9j8
Engenheiro de Dados Azure Senior,"São Paulo, SP",Keyrus Brazil,"Criar pipelines de ingestão e transformação de dados.Analise e documentação das diversas fontes de dados do cliente (APIs, banco de dados relacionais e NO-SQL)…",https://tinyurl.com/y3xd7bld
Engenheiro de Dados Júnior,"Porto Alegre, RS",WKRH,"Experiência em normalização de dados.Agregar valor aos contratos de uma empresa de prestação de serviços de TI através da consolidação e modelagem de dados,…",https://tinyurl.com/yy7rpver
Engenheiro de Dados Sênior,"Campinas, SP",Almon Talentos Humanos,Responsável por encontrar tendências nos conjuntos de dados e desenvolver algoritmos para transformar os dados brutos em informações úteis para tomada de…,https://tinyurl.com/y2whulge
Analista de Desenvolvimento de Software (Engenharia de Dados...,"Curitiba, PR",Ewave do Brasil,"Criação, modelagem e manutenção de banco de dados SQL e NoSQL;Quer atuar em empresa inovadora de soluções de monitoramento de trânsito e veículos?",https://tinyurl.com/y4axfo78
Engenheiro de Dados,"São José dos Campos, SP",TerraMagna,Experiência em engenharia de dados e/ou desenvolvimento de software.Descobrir oportunidades para a aquisição de novos dados.Experiência em pipelines e ETL.,https://tinyurl.com/y2b9cw2w
engenheiro(a) de dados júnior,"São Paulo, SP",enjoei,"O(a) engenheiro(a) de dados será responsável pela governança dos principais dados da empresa e por fornecê-los da melhor forma para os outros times, suportando…",https://tinyurl.com/yxadf8bb
engenheiro(a) de dados pleno,"São Paulo, SP",enjoei,Experiência com ingestão de dados em batch.O (a) engenheiro (a) de dados será responsável pela governança dos principais dados da empresa e por fornecê-los da…,https://tinyurl.com/yyydmtzg
@ Engenheiro de Dados Spark Cloudera Sênior,"São Paulo, SP",Keyrus Brazil,O consultor irá trabalhar com tarefas de desenvolvimento e manutenção de rotinas utilizando PySpark e Pandas para ETL de entidades no Datalake.,https://tinyurl.com/y3bgptuz
ESPECIALISTA ENGENHEIRO DE DADOS,"Rio de Janeiro, RJ",Energisa - Recrutamento Externo,"Construir, otimizar e executar scripts de atualização de dados de forma performática;Garantir as melhores práticas de modelagem e persistência de dados;",https://tinyurl.com/yxqyra3y
Engenheiro de Dados Sênior,"São Paulo, SP",Vitta,Conhecimentos em modelagem de dados;Conhecimento em bancos de dados estruturados;Ter a oportunidade de impactar a saúde de milhões de brasileiros.,https://tinyurl.com/y5h3awgh
ANALISTA ENGENHEIRO DE DADOS SÊNIOR,"São Paulo, SP",Brasilprev,"Experiência em: Análise e programação de demandas de modelagem e extração de dados.Venha fazer parte do nosso time de tecnologia, onde você terá com o objetivo…",https://tinyurl.com/y4lqkrhh
