codigo_ibge,nome,latitude,longitude,codigo_uf
5200050,abadia de goias,-16.7573,-49.4412,52
3100104,abadia dos dourados,-18.4831,-47.3916,31
5200100,abadiania,-16197,-48.7057,52
3100203,abaeté,-19.1551,-45.4444,31
1500107,abaetetuba,-1.72183,-48.8788,15
2300101,abaiara,-7.34588,-39.0416,23
2900108,abaíra,-13.2488,-41.6619,29
2900207,abaré,-8.72073,-39.1162,29
4100103,abatia,-23.3049,-50.3133,41
4200051,abdon batista,-27.6126,-51.0233,42
1500131,abel figueiredo,-4.95333,-48.3933,15
4200101,abelardo luz,-26.5716,-52.3229,42
3100302,abre campo,-20.2996,-42.4743,31
2600054,abreu e lima,-7.90072,-34.8984,26
1700251,abreulandia,-9.62101,-49.1518,17
3100401,acaiaca,-20359,-43.1439,31
2100055,acailandia,-4.94714,-47.5004,21
2900306,acajutiba,-11.6575,-38.0197,29
1500206,acara,-1.95383,-48.1985,15
2300150,acarape,-4.22083,-38.7055,23
2300200,acaraú,-2.88769,-40.1183,23
2400109,acari,-6.4282,-36.6347,24
2200053,acaua,-8.21954,-41.0831,22
4300034,acegua,-31.8665,-54.1615,43
2300309,acopiara,-6.08911,-39448,23
5100102,acorizal,-15194,-56.3632,51
1200013,acrelandia,-9.82581,-66.8972,12
5200134,acreúna,-17396,-50.3749,52
2400208,acu,-5.58362,-36914,24
3100500,acucena,-19.0671,-42.5419,31
3500105,adamantina,-21682,-51.0737,35
5200159,adelandia,-16.4127,-50.1657,52
3500204,adolfo,-21.2325,-49.6451,35
4100202,adrianópolis,-24.6606,-48.9922,41
2900355,adustina,-10.5437,-38.1113,29
2600104,afogados da Ingazeira,-7.74312,-37631,26
2400307,afonso bezerra,-5.49229,-36.5075,24
3200102,afonso claudio,-20.0778,-41.1261,32
2100105,afonso cunha,-4.13631,-43.3275,21
2600203,afranio,-8.51136,-41.0095,26
1500305,afua,-0.154874,-50.3861,15
2600302,agrestina,-8.45966,-35.9447,26
2200103,agricolandia,-5.79676,-42.6664,22
4200200,agrolandia,-27.4087,-49822,42
4200309,agronômica,-27.2662,-49708,42
1500347,agua azul do Norte,-6.79053,-50.4791,15
3100609,agua boa,-17.9914,-42.3806,31
5100201,agua boa,-14051,-52.1601,51
2200202,agua branca,-5.88856,-42637,22
2500106,agua branca,-7.51144,-37.6357,25
2700102,agua branca,-9262,-37938,27
5000203,agua clara,-20.4452,-52879,50
3100708,agua comprida,-20.0576,-48.1069,31
