Cargo,Local,Empresa,Descricao,Link,nivel,vaga,cidade,estado,latitude,longitude
analista de dados sr,"São Paulo, SP",Vivo (Telefônica Brasil),"Liderar o desenvolvimento de estudos e análises para apoiar a tomada de decisão da empresa, por meio da extração de bases de Dados e da criação e atualização de…",https://tinyurl.com/y2p8lr7a,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados,"São Paulo, SP",Itaú Unibanco,"Condução de projetos de dados.O analista irá conduzirá frentes estratégicas de dados, sendo referência para o time na organização das atividades e no…",https://tinyurl.com/y6c79z3d,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados pleno,"São Paulo, SP",Wyser,"O profissional será responsável pela estruturação dos dados da área de Qualidade e Performance, de modo a estruturar novos bancos de dados e criar relatórios…",https://tinyurl.com/y2ybqhgr,pleno,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados,"São Paulo, SP",UZZO Pay,". Experiência com tratamento, análise e extração de dados internos e externos para geração de base de dados e consolidação de relatórios;",https://tinyurl.com/yyoodmnp,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados / customer success,"São Paulo, SP",Experian,Realizará a gestão de escopo de projetos dos clientes que consumirem os Produtos de Marketing Services;Vivência em Customer Success/Pós-venda com experiência…,https://tinyurl.com/yyqfx3xn,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados (compras/merchandising),"São Paulo, SP",SALTO,"Você será responsável por extrair informações das bases de dados provenientes de diversos relatórios e sistemas, desenvolvendo dashboards para tomada de decisão…",https://tinyurl.com/y4efrqa4,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados sr.,"São Paulo, SP",Robert Half,"Trabalhará em contato com várias unidades de negócios, em squads e juntamente com engenheiros de dados, product owners, cientistas de dados, outros analistas de…",https://tinyurl.com/y2rak9wx,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados pleno/senior,"São Paulo, SP",B2W Digital,"Conhecimento de álgebra linear, lógica de programação e modelagem de dados;Conhecimento em extração e processamento de dados usando SQL.",https://tinyurl.com/y6g48fxj,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
"analista de dados pl ( indicadores) - sao paulo, sp","São Paulo, SP",UnitedHealth Group,"O UnitedHealth Group é um empregador de igualdade de oportunidades de emprego.Análise de resultados e repasse das informações para gerência estratégica, para…",https://tinyurl.com/y67hno5z,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados,"São Paulo, SP",Vezzi Lapolla Mesquita Advogados,"Elaborar view de exportação de dados de acordo com o preenchimento do escritório para tratativa de dados, analisar e trabalhar com a equipe a qualidade dos…",https://tinyurl.com/y55u39tj,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados / bi,"São Paulo, SP",Instituto Ayrton Senna,Conduzir projetos de soluções analíticas visando a disponibilização de dados para auxiliar na tomada de decisão e na democratização dos dados nas áreas de…,https://tinyurl.com/y2u5bd43,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados senior | data analyst,"São Paulo, SP",PicPay,"Você será a pessoa de dados para clientes internos e deve ser capaz de entender e planejar a entrega de todas as suas requisições no curto e médio prazos, com…",https://tinyurl.com/y2dsp28m,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados pleno,"São Paulo, SP",Sami,"Perfil analítico e de resolução de problemas.Experiência com Tableau, Power BI e outras ferramentas de análise de dados (SQL, ETL).",https://tinyurl.com/y2omsb94,pleno,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados pleno,"São Paulo, SP",GOL Linhas Aéreas,Conhecimento de plataformas Big Data em ambiente de nuvem e banco de dados tradicionais;Buscamos profissionais com interesse em atuar com desenvolvimento …,https://tinyurl.com/y5tp52ek,pleno,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados - pleno,"São Paulo, SP",MAGNA SISTEMAS,"Conhecimento em ferramentas para gestão de dados (ciclo de vida de dados, replicações de dados real time, mascaramento de dados);Local de trabalho:São Paulo.",https://tinyurl.com/y23xx6pw,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados ca-sdm,"São Paulo, SP",Ark Solutions,Prestação de Serviços de criação de relatório no CA-SDM (CA - service desk manager).Escopo: Realizar o relatório de tempo de atuação dos grupos nos…,https://tinyurl.com/yxn9r2gn,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados,"São Paulo, SP",WBG Retail,"Automatizar a geração de relatórios de acompanhamento das operações online, apoiando a gestão dos negócios, padronizando a forma de gestão dos dados e…",https://tinyurl.com/y47w2mfz,senior,analista de dados,sao paulo, SP,-23.5329,-46.6395
analista de dados pleno,"São Paulo, SP",Petz,"Conhecimentos intermediário de bancos de dados, linguagem SQL.Apoiar as áreas de negócio no uso de dados;Traduzir dados para insights de negócio;",https://tinyurl.com/yyz5ccd7,pleno,analista de dados,sao paulo, SP,-23.5329,-46.6395
